scenario,paragraphs,iterations,elapsed_ms,input_operations,model_commits,render_swaps,full_render_swaps,layout_passes,render_passes,typing_latency_total_ms,forced_reflows,js_interop_calls
load-100p,100,1,285,0,1,3,1,1,0,0,0,0
load-10p,10,1,52,0,1,2,1,1,0,0,0,0
load-500p,500,1,912,0,1,3,1,1,0,0,0,0
typing-500p,500,50,12246,50,50,200,50,50,0,0,0,0
typing-100p,100,50,2180,50,50,200,50,50,0,0,0,0
typing-10p,10,50,599,50,50,100,50,50,0,0,0,0
batch-insert-100,1,100,200,100,1,2,1,1,0,0,0,0
load-100p,100,1,161,0,1,3,1,1,0,0,0,0
load-10p,10,1,46,0,1,2,1,1,0,0,0,0
load-500p,500,1,752,0,1,3,1,1,0,0,0,0
typing-500p,500,50,11552,50,50,200,50,50,0,0,0,0
typing-100p,100,50,2152,50,50,200,50,50,0,0,0,0
typing-10p,10,50,789,50,50,100,50,50,0,0,0,0
batch-insert-100,1,100,248,100,1,2,1,1,0,0,0,0
